id;title;brand;normal_price;low_price;high_price;oferta;categoria1;categoria2;datetime;Atributos;sin_stock;page;ahorro;ahorro_percent;kilo
18;Toallas higiénicas Naturella Cuidado Nocturno XL 8 un.;Naturella;1179.0;0.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;1;0.0;0.0;1.0
19;Pasta dental Max White crystal mint 3 un. 75 ml;Colgate;4499.0;0.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;1;0.0;0.0;1.0
20;Jabón líquido Dermo Care avena 1 L;Simonds;2090.0;0.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;1;0.0;0.0;1.0
21;Toallas higiénicas Nosotras Normal suave 10 un.;Nosotras;999.0;0.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;1;0.0;0.0;1.0
22;Shampoo Manzana y Papaya 750 ml;Familand;1659.0;0.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;1;0.0;0.0;1.0
23;Jabon líquido 700 ml;Elite;0.0;2099.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;1;-2099.0;-3.202;1.0
24;Shampoo Vitaminados Frescura 350 ml;Fructis;0.0;2989.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;1;-2989.0;-4.56;1.0
25;Toallas higiénicas Always Seca Noche 16 un.;Always;2849.0;0.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;1;0.0;0.0;1.0
26;Pétalos desmaquilladores;Family Care;0.0;0.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;1;0.0;0.0;1.0
27;Desodorante Protection 5 spray 150 ml;BiO;0.0;1949.0;2599.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;1;650.0;0.992;1.0
28;Toallas higiénicas Ladysoft nocturna ultraseca 16 un.;Ladysoft;0.0;2390.0;2959.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;1;569.0;0.868;1.0
29;Shampoo Aloe Hidra Bomb 350 ml;Fructis;0.0;2989.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;1;-2989.0;-4.56;1.0
30;Shampoo Pro-V Hidratación Extrema 300 ml;Pantene;0.0;1990.0;2739.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;1;749.0;1.143;1.0
31;Shampoo carbón frasco 750 ml;Ballerina;1530.0;0.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;1;0.0;0.0;1.0
32;Toallas higiénicas Nosotras Ultra Invisible malla 10 un.;Nosotras;1319.0;0.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;1;0.0;0.0;1.0
33;Shampoo + Acondicionador bomba variedades 340 ml c/u;Sedal;0.0;4290.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;1;-4290.0;-6.544;1.0
34;Pack 3 un. Jabón en barra Le Sancy variedades 90 g c/u;Le Sancy;2179.0;0.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;1;0.0;0.0;1.0
35;Varitas de algodón Baby Tips 200 un.;Babyland;1599.0;0.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;1;0.0;0.0;1.0
36;Máquina de afeitar Prestobarba3 F1 roja 2 un.;Gillette;1999.0;0.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;1;0.0;0.0;1.0
37;Protector diario Kotex tela 40 un.;Kotex;1490.0;0.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;1;0.0;0.0;1.0
38;Protectores diarios largos 30 un.;Nosotras;1379.0;0.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;1;0.0;0.0;1.0
39;Jabón líquido Dermo Care cremoso pH neutro 1 L;Simonds;2090.0;0.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;1;0.0;0.0;1.0
40;Shampoo Quillay y Ortiga 750 ml;Familand;1659.0;0.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;1;0.0;0.0;1.0
41;Pasta dental Luminous White carbón activado 90 g;Colgate;0.0;2690.0;2890.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;2;200.0;0.305;1.0
42;Toallas higiénicas Always Seca Ultrafina 24 un.;Always;0.0;2804.0;3299.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;2;495.0;0.755;1.0
43;Shampoo Bambú 400 ml + Bálsamo 400 ml;Pantene;5090.0;0.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;2;0.0;0.0;1.0
44;Acondicionador Leche de Coco 750 ml;Familand;1659.0;0.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;2;0.0;0.0;1.0
45;Pasta dental Kids Mickey 50 g;Oral-B;1139.0;0.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;2;0.0;0.0;1.0
46;Desodorante barra Double Defense Floral Fresh 45 g;Lady Speed Stick;2999.0;0.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;2;0.0;0.0;1.0
47;Pack pasta dental sabor menta 158 g 2 un.;Aquafresh;0.0;2543.0;3179.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;2;636.0;0.97;1.0
48;Pasta dental Triple Acción menta original 2 un. 150 ml c/u;Colgate;3789.0;0.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;2;0.0;0.0;1.0
49;Jabón barra avena 3 un. 90 g c/u;Protex;2599.0;0.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;2;0.0;0.0;1.0
50;Pasta dental Triple Acción xtra blancura 3 un. 75 ml c/u;Colgate;0.0;2890.0;3590.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;2;700.0;1.068;1.0
51;Jabón líquido karité 700 ml;Dove;0.0;2659.0;3549.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;2;890.0;1.358;1.0
52;Jabón barra orchideas 3 un. 85 g;Nivea;2099.0;0.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;2;0.0;0.0;1.0
53;Protectores diarios todos los días 100 un.;Carefree;3499.0;0.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;2;0.0;0.0;1.0
54;Toallas higiénicas Ladysoft básicas sin alas 8 un.;Ladysoft;0.0;590.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;2;-590.0;-0.9;1.0
55;Pasta dental Triple Acción xtra frescura 3 un. 75 ml c/u;Colgate;0.0;2890.0;3590.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;2;700.0;1.068;1.0
56;Shampoo Granada Uva 750 ml;Familand;1659.0;0.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;2;0.0;0.0;1.0
57;Shampoo Limpieza Renovadora 375 ml;Head & Shoulders;0.0;0.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;2;0.0;0.0;1.0
58;Jabón humectante barra 90 g 3 un.;Elite;0.0;2390.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;2;-2390.0;-3.646;1.0
59;Jabón barra avena 3 un. 85g;Nivea;2099.0;0.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;2;0.0;0.0;1.0
60;Shampoo Leche de Coco 750 ml;Familand;1659.0;0.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;2;0.0;0.0;1.0
61;Shampoo Herbolaria 400 ml;Tío Nacho;0.0;4990.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;2;-4990.0;-7.612;1.0
62;Toallas higiénicas Always Suave Ultrafina 16 un.;Always;2239.0;0.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;2;0.0;0.0;1.0
63;Desodorante Black & White máxima protección 50 ml;Nivea;0.0;2890.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;2;-2890.0;-4.409;1.0
64;Acondicionador Pro-V Hidratación 300 ml;Pantene;0.0;1990.0;2739.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;2;749.0;1.143;1.0
65;Cepillo dental triple acción suave 2 un.;Colgate;2690.0;0.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;2;0.0;0.0;1.0
66;Desodorante spray Pro 5 1 91 g;Lady Speed Stick;0.0;2990.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;2;-2990.0;-4.561;1.0
67;Shampoo Pro-V Restauración 300 ml;Pantene;0.0;1990.0;2739.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;2;749.0;1.143;1.0
68;Protectores diarios Ladysoft tela suave 100 un.;Ladysoft;3429.0;0.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;2;0.0;0.0;1.0
69;Pasta dental Kids Minnie 50 g;Oral-B;1139.0;0.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;2;0.0;0.0;1.0
70;Jabón Dermo Care Hygienic 1.5 L;Simonds;0.0;2190.0;2490.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;2;300.0;0.458;1.0
71;Jabón en barra natural 100 g;Trianon;1150.0;0.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;2;0.0;0.0;1.0
72;Shampoo Oil Repair Liso Coco 350 ml;Fructis;0.0;2599.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;2;-2599.0;-3.965;1.0
73;Jabón líquido Dermo Care 1 L;Simonds;2090.0;0.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;2;0.0;0.0;1.0
74;Toallas higiénicas Kotex nocturna Ultrafina tela suave con alas 15 un.;Kotex;0.0;2590.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;2;-2590.0;-3.951;1.0
75;Jabón original blanco barra 90 g;Dove;1739.0;0.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;2;0.0;0.0;1.0
76;Desodorante Aerosol Invisible Dry 150 ml;Dove Men;0.0;3459.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;2;-3459.0;-5.277;1.0
77;Shampoo anticaspa pelo graso 2 un. 350 ml c/u;Linic;3999.0;0.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;2;0.0;0.0;1.0
78;Cepillo dental Twister Fresh suave 2 un.;Colgate;2390.0;0.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;2;0.0;0.0;1.0
79;Desodorante barra Xtreme Tech Ultra 50 g;Speed Stick;0.0;0.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;2;0.0;0.0;1.0
80;Toallas higiénicas Nosotras Buenas Noches normal 8 un.;Nosotras;1339.0;0.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;2;0.0;0.0;1.0
81;Shampoo Arándano y Uva 750 ml;Familand;1659.0;0.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;3;0.0;0.0;1.0
82;Desodorante Clarify spray mujer 150 ml;BiO;0.0;1949.0;2599.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;3;650.0;0.992;1.0
83;Sabanillas con tecnología gel 6 un. 90 x 60 cm c/u;Cotosan;3149.0;0.0;0.0;0;supermercados;belleza-y-cuidado-personal;2022-07-16 22:11:26.364649;1 un;1;3;0.0;0.0;1.0
